id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;婷方;招;pu9ggq_mp887@yahoo.cn;血淋淋 aside;2024-09-19T10:25:19;29278;22729
2;晨阳;书;m97k5q39@gmail.com;psst 快 duh;2024-09-19T12:38:03;13380;15023
3;胤祥;忻;pu9ggq_hf9@126.com;provided 仅;2024-09-20T02:00:04;20492;21868
4;哲瀚;贺;fvpts4_k5w47@tom.com;why excepting slippers;2024-09-19T21:20:33;8642;16574
5;伟诚;茆;iuk_ilp@139.com;抚;2024-09-20T02:23:07;3222;5505
6;炫明;保;iuk_tu540@outlook.com;拔 pride wherever;2024-09-20T01:45:29;12640;14602
7;文韬;开;me4hce_qyp16@126.com;ouch 推;2024-09-19T14:39:27;11650;10509
8;鸿涛;佛;rmftt4.qni78@qq.com;who meanwhile;2024-09-20T02:36:42;20904;25191
9;明轩;赧;lh7lnf.jf1@sina.com;绿;2024-09-19T22:31:09;1703;14983
10;建辉;何;tbfv9r_l9z42@outlook.com;as amidst 剪;2024-09-19T10:23:28;2600;14756
